OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,Shape_Length,Shape_Area
1,98031,98031,033,Standard,117508.23141015,228012907.168465
2,98032,98032,033,Standard,166737.665152181,482675358.830169
3,98033,98033,033,Standard,101363.832385581,256674738.760158
4,98034,98034,033,Standard,98550.4600719002,272507157.120373
5,98030,98030,033,Standard,94351.2749487316,200095361.238913
6,98027,98027,033,Standard,255232.07493651,1640576279.52528
7,98038,98038,033,Standard,316441.960732463,1649846738.94939
8,98039,98039,033,Standard,37222.7269612951,39346823.5767694
9,98040,98040,033,Standard,75519.6591026005,175584208.596036
10,98042,98042,033,Standard,207993.205048664,762420832.034645
11,98026,98026,061,Standard,133289.423884277,258888373.428059
12,98023,98023,033,Standard,90832.4246683946,291140883.654576
13,98022,98022,033,Standard,735799.746441767,11359799658.0019
14,98047,98047,053,Standard,19937.7304027148,19319883.4562564
15,98051,98051,033,Standard,211663.339565828,1150005809.72744
16,98052,98052,033,Standard,166796.770610784,536057548.780384
17,98053,98053,033,Standard,201103.984207402,774000613.632046
18,98021,98021,061,Standard,101755.382868015,273011415.1365
19,98020,98020,061,Standard,65195.733089923,143963388.096132
20,98014,98014,033,Standard,227524.533743361,1160183705.47592
21,98012,98012,061,Standard,110807.673458415,421686535.766905
22,98011,98011,033,Standard,70949.0589860144,198270746.723057
23,98010,98010,033,Standard,134236.96769357,518248271.794664
24,98036,98036,061,Standard,111757.183122469,267202393.095194
25,98037,98037,061,Standard,78136.4159390061,168863901.907376
26,98029,98029,033,Standard,111317.142187401,270983418.755421
27,98028,98028,033,Standard,75146.2220218774,173233183.696838
28,98043,98043,061,Standard,46970.6897693763,115804612.755818
29,98045,98045,033,Standard,632072.888656664,8059174605.87532
30,98024,98024,033,Standard,362554.834842899,2181634326.29916
31,98047,98047,033,Standard,40407.1013470289,48433350.7563488
32,98022,98022,053,Standard,295979.59225798,2507633660.90162
33,98019,98019,033,Standard,312688.579772124,3189847404.49084
34,98008,98008,033,Standard,93748.3538831819,153801770.990334
35,98101,98101,033,Standard,23619.0357404826,14700123.7191582
36,98102,98102,033,Standard,37488.7807910592,43221885.4995682
37,98007,98007,033,Standard,113480.575319615,115790429.955789
38,98006,98006,033,Standard,107698.250751341,322939060.995173
39,98005,98005,033,Standard,116409.337935548,211364085.12031
40,98004,98004,033,Standard,108762.982672926,201450070.02462
41,98003,98003,033,Standard,120498.914556602,317076886.611389
42,98002,98002,033,Standard,102448.491057937,205568823.849952
43,98001,98001,033,Standard,156155.469416028,532425522.916178
44,98110,98110,035,Standard,261622.880832056,757413743.748941
45,98112,98112,033,Standard,66321.0687672657,88186446.859503
46,98115,98115,033,Standard,77105.1754969378,181355906.363179
47,98116,98116,033,Standard,46123.0240483426,81459759.4655508
48,98070,98070,033,Standard,272819.693396191,1010295820.04487
49,98072,98072,033,Standard,119472.966725138,376794578.646898
50,98072,98072,061,Standard,78248.2343957091,151344185.85668
51,98074,98074,033,Standard,115554.667658382,327749795.429647
52,98075,98075,033,Standard,125889.990056101,290341210.46663
53,98077,98077,033,Standard,117061.095407973,419740022.553226
54,98077,98077,061,Standard,50110.1240030627,75926072.5352454
55,98087,98087,061,Standard,68003.5198361596,156580450.322233
56,98092,98092,033,Standard,263990.586474177,1214591234.98201
57,98136,98136,033,Standard,52802.8821903796,63195436.2471872
58,98055,98055,033,Standard,68049.8866482394,124138931.021624
59,98056,98056,033,Standard,92795.3629203129,197657194.730147
60,98057,98057,033,Standard,85004.5604548275,184711230.752315
61,98092,98092,053,Standard,29033.3427138224,31805301.6056267
62,98058,98058,033,Standard,174295.937905048,627855680.095447
